Period,Leningrad Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Moscow,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Moscow Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Saint Petersburg,Kursk Oblast
2023-12-01,6,0,0,16,0,0,9,23,25,6,0,4,4,1,5,2,0,0,15,0,6840,13,0,0,9,4,0,0,1,9,3,908,8,2,0,2,0,2,10,11,0,1,4,2,1,10,0,20,44,3,2,12,0,2,2,0,2,0,0,7,0,5,14,0,0,2,0,0,0,1,2,6,14,7,0,31,0,2,4,155,5
2024-01-01,6,3,0,13,2,0,4,13,15,0,8,0,0,1,3,0,0,0,8,0,5109,3,0,0,3,1,2,3,0,6,0,736,2,1,3,8,0,16,9,0,0,6,0,3,0,9,5,26,8,8,0,0,0,2,2,0,2,3,0,0,0,4,3,3,0,1,2,2,0,0,0,1,21,10,0,19,0,7,7,74,0
2024-02-01,7,17,1,13,0,4,2,4,29,0,2,0,0,0,0,0,0,0,0,0,6169,5,0,0,8,1,0,1,1,17,0,988,0,2,0,18,0,9,7,2,0,2,0,4,0,8,2,28,7,1,0,0,0,3,2,0,0,0,0,4,0,5,11,0,0,4,3,0,0,0,5,0,3,3,0,42,0,27,4,138,0
2024-03-01,9,3,3,14,1,2,3,3,5,6,2,0,0,1,1,0,2,0,0,0,4690,17,1,1,5,0,5,0,0,9,0,1083,4,4,1,9,0,3,10,1,0,1,3,0,0,12,0,21,9,0,1,0,0,1,2,0,1,1,0,28,0,1,6,0,0,3,2,0,0,0,1,4,9,1,0,38,0,29,7,194,0
2024-04-01,19,17,2,7,2,0,1,5,5,4,0,0,1,0,5,2,3,0,2,0,5608,8,0,1,2,1,0,0,0,1,1,605,0,0,6,5,0,1,11,2,0,2,2,0,0,12,6,37,18,0,1,2,0,2,0,0,0,1,0,2,0,4,25,2,0,20,2,0,0,0,4,3,8,4,0,52,0,18,0,73,2
2024-05-01,5,1,0,8,2,0,0,6,17,2,4,0,0,3,1,0,0,0,2,0,3943,10,3,0,7,4,2,0,0,9,2,563,1,2,1,3,0,16,4,3,0,1,5,0,0,17,3,17,14,1,0,0,0,1,0,0,3,0,0,7,0,7,7,0,1,11,0,0,0,0,1,1,1,9,0,24,1,15,1,75,0
2024-06-01,11,2,0,22,11,0,13,2,19,1,5,0,3,0,0,1,0,0,2,0,3640,7,0,1,3,4,0,1,0,17,2,487,4,4,0,5,0,3,16,4,1,1,1,0,1,15,0,7,26,0,9,0,0,0,3,0,1,7,0,1,0,3,10,1,1,1,0,21,0,0,2,8,4,2,0,22,0,9,6,53,3
2024-07-01,30,7,0,116,3,0,6,2,79,0,2,0,0,0,0,0,0,0,3,0,4097,16,0,1,9,2,1,0,0,29,17,508,0,0,32,11,1,11,19,0,0,1,3,3,1,13,6,16,13,3,0,0,0,0,3,0,6,2,0,1,0,7,12,0,3,0,0,636,0,0,0,0,5,6,0,48,1,9,2,77,1
2024-08-01,5,1,0,88,0,0,0,0,63,2,2,0,5,0,1,5,1,4,1,2,4441,16,0,0,34,2,2,3,0,16,1,350,2,0,14,4,0,2,6,0,0,0,1,0,1,15,1,6,22,0,1,0,0,1,4,0,1,2,0,2,0,6,65,0,0,3,0,242,0,0,2,1,22,5,0,23,0,6,3,65,0
2024-09-01,3,5,4,127,0,0,3,7,81,9,7,3,0,0,3,0,0,0,5,4,4819,23,0,0,15,4,6,0,1,31,8,451,7,1,38,8,0,4,4,3,1,4,6,1,1,16,7,6,32,3,2,3,1,1,3,1,3,3,7,25,0,7,32,0,0,11,3,271,0,1,3,5,18,6,0,93,0,15,0,113,4
2024-10-01,7,14,0,154,0,0,4,14,144,3,5,1,2,7,3,1,0,0,2,7,4514,13,0,0,89,5,0,0,0,11,0,468,1,4,0,6,0,2,10,0,2,0,0,2,1,10,1,15,60,5,0,0,0,5,0,0,0,1,1,14,0,7,44,0,0,78,5,283,0,0,1,2,3,5,0,51,0,7,0,118,1
2024-11-01,6,0,1,164,0,0,19,24,152,1,5,0,6,0,0,0,0,0,1,0,4803,14,0,0,6,3,0,0,0,4,1,543,0,1,3,6,0,12,1,6,0,1,2,1,5,39,0,20,74,2,0,0,0,4,0,0,7,7,0,25,1,6,26,2,0,133,1,10,0,0,5,6,10,1,0,23,0,4,0,100,0
