Period,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Moscow Oblast,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Moscow,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Leningrad Oblast,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Saint Petersburg,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Kursk Oblast
2021-10-01,602811,459988,659945,465862,482555,800722,654584,760072,1354734,733007,547274,400861,468161,438223,333338,298830,284650,653552,366768,2628742,157111,84084,1885198,1047964,613607,626125,277836,2244865,1024979,899973,674975,1260755,2074697,385932,1912860,1674917,1212202,811234,586491,1111597,6432181,635121,97733,1169861,1158821,1511705,1687395,891141,248159,370907,116701,279423,9598005,501473,53018,102947,525857,49416,689306,325156,294046,185777,494902,139852,1090201,616338,88743,487162,56092,176796,1133507,206518,1741358,957761,413297,2741907,4201205,331894,932684,322933,667486
2021-11-01,632409,500215,671841,501200,510532,804002,663500,784158,1390816,784194,607067,426928,482065,458778,330675,300679,302431,698133,408641,2754759,170936,99599,2122530,1122627,652007,665320,293037,2343740,1163782,1009351,709773,1328590,2321959,436814,2120272,1657488,1219075,853171,603872,1155478,6361588,680720,118294,1264017,1247962,1656715,1749134,939654,270900,430484,142594,295874,10194407,522543,56928,109503,556308,50909,712637,377083,325207,192976,497606,178363,1049012,660230,108258,669687,77224,213587,1245834,250676,1799199,1016394,392696,2685182,4294175,352628,924547,351136,659814
2021-12-01,639139,485391,679155,510135,509760,832975,705753,815817,1353569,756830,569485,407256,456098,453320,349241,318785,298958,684210,376952,2696766,165675,92964,2035784,1115983,668068,671209,284113,2266661,1048207,898677,703081,1299212,2063380,379441,1905252,1666413,1219669,861025,599130,1097589,6858220,670709,102483,1197775,1197945,1569379,1688107,913402,255669,398700,94439,270673,10408688,524108,55804,109806,559809,50856,726200,331464,268559,192751,464876,132245,1135503,660711,100326,480679,53143,182459,1148152,196933,1782067,929021,399905,2671765,4366973,340049,914360,331293,643653
2022-01-01,611632,477708,662114,487170,481831,742709,654356,750072,1321402,714065,550771,395106,441137,410708,318203,291100,284348,650554,397169,2574524,166372,94684,1939005,1064519,641071,595924,273643,2262282,1036500,821884,635613,1266160,2129068,370740,1850448,1603904,1139137,805306,581928,1076979,6302577,628463,103479,1202781,1204256,1538045,1710098,944903,256471,391973,119716,277244,10390676,477753,52545,101148,535701,50424,700524,340179,313204,187105,481086,145575,1050044,578291,103678,531775,59104,179747,1071300,184607,1727589,953369,407252,2601044,4317610,330815,939293,335088,647504
2022-02-01,674527,510333,709193,537760,543472,872251,727843,839076,1461306,807719,591171,432708,484229,453571,348158,307596,308636,721346,401240,2880382,175908,95907,2180139,1193959,690750,666842,305987,2474246,1113615,953457,730697,1382155,2345692,415944,2167579,1802200,1300122,876480,639556,1192968,7437600,685725,117372,1314475,1288444,1659950,1845227,997068,273760,424338,137646,302018,11038089,543013,58920,111591,592477,55011,777305,370820,316031,210870,510902,150959,1167748,702087,110316,567085,70894,215635,1240244,231719,1872942,976186,411155,2755531,4714754,362178,973653,347033,672726
2022-03-01,609359,519772,670913,528285,505275,826177,698717,795036,1294364,763704,604468,431298,467585,449332,342743,313105,300762,702975,392991,2727107,170925,90251,2037007,1080713,643616,627836,287037,2422379,1075191,847012,654217,1334367,2142989,377629,1997439,1617346,1210889,847884,565245,1065072,6602647,653057,112898,1270581,1206220,1576805,1814369,946792,261837,418792,121289,300665,9932809,511985,60477,115156,569441,52140,736175,335995,281959,208325,487555,142256,1109617,669829,107435,542720,56606,203125,1171164,219582,1774530,942999,373975,2634691,4254525,348641,936064,356512,639197
2022-04-01,619028,482326,639267,480474,479613,786727,667062,765446,1302738,765118,530210,442235,437126,429688,327734,307493,294397,681474,414096,2579599,171950,100496,2093860,1063200,659937,645429,286670,2271220,1124522,973726,665848,1269667,2124346,408931,2052003,1611759,1192628,836025,624600,1044718,6366247,668342,108529,1172503,1146761,1446625,1831211,919821,248897,392879,117223,275110,10057002,516193,50563,108989,565971,52033,721797,342269,305521,191744,472083,134515,1099288,623946,110332,553503,57307,200453,1191758,226086,1695715,903986,381187,2576190,4351838,349711,895469,307340,654760
2022-05-01,472095,337352,495050,382006,359525,638516,516742,596688,995472,580264,392110,348360,326239,319733,275110,227477,223163,502249,301950,2197273,126515,71300,1622029,861818,459061,473530,203586,1708307,730780,627691,496500,982833,1494547,269742,1332557,1279661,891355,604316,430514,738913,5193745,480211,71880,868829,907861,1088640,1325254,706025,187491,317370,73690,201012,8282832,373206,41781,78071,453419,39905,605899,233542,197734,153211,322716,82852,920750,509308,78480,312559,45356,154018,885107,148656,1316749,643989,282513,2101071,3688618,252786,677897,218185,477505
2022-06-01,426679,301089,438630,346150,325885,584251,474704,538687,874303,499174,327080,318259,267020,280405,251679,202425,191830,440499,243816,2112631,110758,58226,1434842,755597,401456,422836,168881,1490340,617063,549282,457079,806272,1240564,224037,1127318,1126697,784463,508987,376506,611174,4762281,437001,55470,730429,759239,917798,1108027,580181,159779,240881,53450,164922,6969857,331259,35799,65311,376839,34276,517478,179779,153018,126873,257822,58075,896934,462941,60973,256293,34190,128070,780796,122485,1108159,523283,235823,1758046,3160230,224394,583718,191854,415804
2022-07-01,432548,298266,443761,336066,315657,585814,478273,548558,870065,502591,333317,311388,269906,278694,246123,205802,192140,450483,248395,2135709,113855,61413,1455003,756425,386085,429971,172134,1516736,631926,545043,452468,831720,1291624,226738,1168760,1139452,784745,522358,375271,620678,4733844,432406,124678,759252,771197,999413,1159698,563130,167878,242191,56028,160996,7395310,327843,33426,69558,360548,35669,497824,182849,167148,138751,265853,71570,869569,467524,61980,285773,36260,127043,794909,122502,1139552,543304,240042,1824029,3139387,225517,571673,199999,410284
2022-08-01,504696,382198,539522,407285,396575,669287,558732,639204,1096676,611306,451483,358727,353819,362937,284481,247716,242930,551379,329679,2390741,141379,78200,1729386,906483,505647,509357,224517,1895626,868760,734742,544985,1030382,1713828,319455,1599301,1350492,956480,648521,476004,829161,5446388,556315,85768,1008173,974289,1219805,1474135,720395,208126,317421,94688,229119,8512061,406193,46013,91448,450184,44331,623381,273994,216041,164220,377527,130981,944222,541295,81129,483991,53559,164523,1013836,177401,1395347,739317,297117,2161216,3322174,274720,731681,263184,530380
2022-09-01,575732,439215,593517,462957,476629,735798,621283,707949,1235256,681914,534183,392195,430871,413889,304387,282433,278870,638475,380831,2653027,159387,87604,1898167,976576,584624,597664,260982,2177642,979428,798532,627098,1192146,1971850,362961,1832325,1505107,1098241,737039,512637,1077397,5688619,614484,105271,1191340,1149357,1455141,1727595,825463,252521,377956,130231,271740,8347422,463074,52099,105324,524413,52060,708380,340179,289162,193121,468827,154692,1017038,588815,100516,607912,60761,196760,1100630,215929,1578280,873467,344856,2421772,3581848,320206,852457,319071,609351
2022-10-01,574047,439508,611852,453887,492974,748888,625559,718767,1277524,678782,531297,394500,430688,414639,322114,286740,278777,641855,372002,2628136,161234,83579,1891296,1034265,580344,593468,264252,2179039,993811,1043513,625796,1187115,2027395,375696,1767935,1552492,1141236,729757,554693,1103198,5728625,599357,112219,1228951,1164701,1489059,1762137,848444,254259,389246,127851,299306,8224832,459077,58697,121649,576116,57406,781267,337386,306662,217947,494227,147821,1021763,580321,92975,511263,54127,186535,1072090,212017,1609697,877385,357100,2470223,3620915,315050,848207,329870,602973
2022-11-01,575135,434037,584162,436077,474395,713777,599985,701534,1175953,689826,558396,400614,421582,404902,299095,271860,276132,643088,396393,2581793,163412,93235,1933504,1004331,615733,584155,268485,2139254,1058334,1041304,598752,1202812,2039154,393094,1827022,1513647,1053325,756442,533263,1034727,5500659,613490,110577,1176746,1141507,1476845,1709437,829132,257606,389991,140600,271996,7891626,456829,53175,102135,515325,51582,694556,349190,301339,199241,454022,164233,945301,571731,104504,630977,61015,190194,1136168,217847,1596319,893777,353066,2422359,3436546,322376,847835,324141,593344
2022-12-01,577119,432920,582666,455832,466377,713908,615282,730321,1179697,656865,515439,371855,411977,393550,307725,286339,268908,608216,355539,2463067,152930,80705,1794505,982689,587710,576341,256836,2022945,912488,857868,616040,1126533,1839676,343356,1674747,1471692,1083847,727542,530282,987784,5698135,588823,93516,1077464,1064228,1335118,1551870,770764,234196,354985,106116,253831,7464109,450293,52911,99846,503493,49078,674597,304289,255106,181703,431160,152754,999780,574050,91860,449319,55696,182693,1036579,192418,1538028,799748,334096,2279684,3287656,301129,805112,296841,583159
2023-01-01,522610,395111,524013,407989,424284,652845,561220,644052,1085534,598223,486024,347896,394656,350141,276464,252609,244889,563333,324391,2307406,142143,70616,1680933,894885,533193,522400,238184,1889312,872045,808500,558379,1082069,1765338,315271,1576059,1352363,979407,670845,471800,922014,4926182,535504,93385,1051372,1012897,1296457,1484731,729476,223307,331075,94751,246124,6742469,410453,48774,91956,473182,47829,636549,284853,261472,172050,416636,149075,902389,518170,85988,443973,51105,162283,906622,178351,1441429,781983,316321,2100474,2985410,282345,756867,298056,544503
2023-02-01,582030,441558,582800,455659,467821,722370,614445,708236,1206107,682905,528191,392405,441256,396772,305337,276788,271827,641506,360517,2575714,157089,81646,1866293,1016368,575999,584648,266855,2083638,971186,936693,608454,1194154,1972216,361276,1810523,1470988,1083751,737617,533081,1007395,5705633,589442,106574,1194422,1171005,1467174,1678093,833390,249484,365307,127899,278619,7788711,435122,53585,102650,543056,53028,728960,335901,302443,195494,470287,148112,995653,567228,102631,496876,61654,187689,1061822,194924,1586374,862485,350918,2342430,3374219,313468,843157,331273,604632
2023-03-01,509592,399598,519926,409073,417593,655505,558063,646329,1086177,608336,525679,356684,419930,384353,277303,259452,258983,604014,330666,2305929,141932,74238,1719953,896531,510571,540573,237124,1886656,867784,861385,528844,1107446,1707154,303545,1604731,1355236,965879,682532,460019,939959,4740960,517603,102652,1116145,1085950,1429830,1530617,774665,235555,379458,119369,262272,6750749,416559,51265,100310,501584,48513,671084,307152,265555,183584,430858,117910,906390,512302,92207,421830,42495,184979,957020,183548,1458966,842096,317302,2182491,3165795,291186,807723,323784,545123
2023-04-01,543858,433113,543585,419925,423204,683510,595369,672728,1121268,654598,491763,376708,413014,371974,280632,271904,263580,611034,383540,2340809,160753,89725,1849023,945487,564331,573812,259029,1874019,999257,960339,584557,1121997,1827724,366211,1794399,1426260,1045353,716690,531773,955644,4972097,566175,107542,1145449,1096266,1448697,1606769,794180,248619,377825,131488,257470,6825225,440514,45823,106217,518925,50834,663701,328119,313369,183321,441957,154318,950946,519313,102436,544989,62043,195998,1037471,207652,1494506,837514,327573,2220080,3222513,299186,784446,303186,572891
2023-05-01,405066,292123,431016,313977,308699,548909,455954,534400,818339,498258,356147,281947,298465,273055,231077,203410,199022,455950,250643,1878976,109669,61303,1358155,745694,393070,421085,177698,1365190,639005,545584,427664,855116,1269358,230034,1163561,1078304,754347,517146,359877,630765,3972578,400638,68363,768059,790682,987513,1059094,577974,173181,282509,72663,174700,5598474,313279,36784,68577,399861,37432,509792,207259,203285,136855,285609,70221,785641,409934,68522,267415,37143,138736,740045,127746,1140897,566912,238730,1756615,2609719,217856,582684,210685,401612
2023-06-01,369359,260268,383830,285446,277157,504054,413163,494777,725391,435071,304133,260038,247731,239315,212589,178963,178822,405550,212938,1843195,101006,51983,1213293,657684,344384,375391,148908,1205763,559257,471861,395811,713402,1132879,195005,1026434,973333,671387,454919,317894,540298,3704722,355735,55862,651642,686034,828487,933357,498131,147254,216834,53334,148697,4828937,280425,32151,59838,357544,32767,453360,165945,160497,117372,232999,48822,753957,381002,61656,236141,29582,118710,670644,110632,1000529,460898,203613,1507942,2314426,194415,512965,179407,348717
2023-07-01,380097,266653,391470,284044,279208,529146,421909,507897,722513,439109,305481,269160,250261,246122,214739,180726,175426,411763,220090,1907043,104756,55134,1245171,664640,347404,386184,153087,1213700,575019,477829,399824,735242,1169549,198035,1066770,993199,681974,481887,330991,574395,3706035,366199,56587,688817,713281,891005,933656,508261,153707,222812,57793,152517,4890094,282427,32393,63107,337717,32747,484903,167712,167403,121651,240336,58462,759058,383094,59948,259603,34432,120820,690455,111846,1034867,477069,210196,1553593,2349990,191956,515850,186674,357935
2023-08-01,466343,352289,493652,347528,371751,632170,504754,622266,961141,542904,420659,329690,337542,331658,244853,223129,222768,522544,306169,2211726,135282,73162,1652632,814950,464790,486507,208263,1585170,876508,696057,512539,943832,1593904,284738,1495177,1229981,887876,613574,439809,781439,4311153,492188,83032,944324,909328,1190795,1288508,655879,203318,306178,95585,217617,6097871,361863,40523,82850,417695,42609,569578,263265,229679,153147,347843,110509,848197,460352,79565,432839,51657,162483,931948,172859,1327043,696343,274196,1915218,2823565,247584,685243,268941,483814
2023-09-01,568633,432045,591008,433429,461533,722418,597421,757990,1165899,666920,531714,370680,435222,406036,297788,266965,273826,648296,376112,2510807,152721,86596,1848662,957903,570943,587879,260155,1961923,984333,850100,619814,1181181,1960928,359666,1804544,1491613,1044219,724280,505011,1005254,4925980,589064,106838,1151828,1126375,1479323,1576484,799044,250575,383045,134967,268211,7108293,449422,49546,103753,499826,52527,670413,337016,314825,184096,452865,135690,957218,551320,104414,555815,66384,192525,1033649,208936,1598083,865462,337448,2322123,3233042,307558,835421,336268,588100
2023-10-01,544196,407649,576069,412850,439123,693232,572536,719182,1120754,636030,515270,350686,403457,394194,291598,265868,265883,604069,352550,2436207,150684,80608,1765104,973738,555457,565489,253816,1862059,968068,790972,590049,1105949,1907032,337533,1699863,1457347,1042741,700473,509906,976993,4815825,552111,99686,1106339,1073661,1411588,1490528,780350,239562,359466,126723,257739,6925492,431651,48698,98467,495213,49884,660378,308447,301512,180021,425879,127626,911349,524921,94408,473337,57056,185115,981210,203586,1557105,826316,327536,2236614,3165207,294564,790387,316813,556794
2023-11-01,549686,416378,589480,410884,441458,678111,571929,727768,1130490,657518,534391,390567,419899,395271,285306,262797,269681,618021,394550,2516943,162494,82294,1881995,995132,581991,575832,254817,1904326,1032446,886913,592749,1165823,1959078,360388,1785951,1441830,1048618,728438,495090,991973,4757269,568300,106477,1123673,1108788,1437892,1522916,783936,254251,378532,151904,259797,6953827,442019,50958,105052,493297,49129,661192,334956,307721,178964,432806,149262,918866,529425,107265,626038,72519,214149,1061538,231245,1549199,885049,339010,2265061,3215917,307060,823430,320199,588993
2023-12-01,533478,409547,573585,415236,436188,689327,589243,755138,1082519,640590,513729,365377,411982,391410,288398,268324,265946,596603,331342,2409282,147276,79113,1754616,946573,553205,566121,243294,1839204,922592,732526,581760,1091651,1802347,318739,1628470,1433185,1002032,691824,500453,933175,5150297,550198,92154,1063540,1043532,1351391,1486548,751703,233861,344766,111606,250479,7112960,427866,50502,100213,489067,48732,669776,303805,266429,170674,408182,121305,942611,534391,91164,445406,54137,185780,954464,190654,1523654,793062,323152,2185992,3135840,289614,789923,304226,549226
2024-01-01,518355,387105,539653,397320,420119,648430,554816,677846,1074447,601161,491606,346440,401844,353219,272475,250552,250430,583902,333715,2277889,140859,72449,1686013,900700,526126,526080,227070,1771557,874545,779005,556783,1095009,1730535,309864,1565787,1368898,951690,646676,456590,890919,4619838,532350,92655,1057552,1010333,1304625,1432155,722455,228629,337148,108371,243970,6417076,403565,47767,97713,488424,49521,680441,292620,274992,172876,414701,122956,885819,501673,88950,451317,60355,179609,928555,197432,1450928,804201,314184,2090165,2943635,280137,760886,311723,537101
2024-02-01,495315,374725,532266,386225,403604,633065,543945,657433,1006396,599188,487047,338738,400504,371549,267393,239912,250552,692738,321323,2249085,139566,75714,1675375,924220,512854,517527,232485,1703361,851823,694646,542283,1082010,1723640,299567,1597086,1337610,939359,646341,473218,874967,4859536,510635,95584,1062423,1011433,1341946,1372073,751579,224750,336478,118808,242720,6686304,391365,45224,98720,470281,47251,632582,298228,285117,171231,398687,111587,873965,492376,94666,449868,46540,175002,928529,186814,1423506,792708,302161,2101015,2979658,281842,749654,307261,510643
2024-03-01,491078,381727,512042,397001,403318,625172,548850,641518,1008114,607847,505005,349170,414353,392050,279043,252363,260076,597593,313033,2224809,139613,73502,1643817,874614,507888,530585,231364,1762708,837486,779464,544367,1085680,1638571,285867,1546851,1312936,948445,656432,451349,876628,4508355,519632,95960,1077662,1018067,1383754,1408928,749173,228476,356975,119759,250193,6739618,404932,47593,101664,471353,49962,629711,298359,281961,177134,399291,93806,882219,492401,86472,370402,41746,168193,913296,181072,1406338,851154,293327,2098726,3072539,280845,778697,319353,520567
2024-04-01,491001,385221,507813,365672,396306,619844,543372,633680,1016075,583246,493833,352385,391196,359062,262945,248599,256000,583225,330872,2188892,144720,81820,1750339,874574,536326,537846,236627,1647367,943669,793568,567040,1073901,1707820,315730,1649871,1318496,941688,684457,479640,867714,4530622,510360,97764,1022208,979499,1278291,1437208,740515,226186,345418,121525,227740,6666835,405766,41441,99811,464242,45635,605609,295143,288451,169675,388804,124841,890527,475531,93113,496928,58930,181394,922840,198258,1413169,815912,298499,2101437,3016855,275577,770686,291351,528890
2024-05-01,370445,264963,390783,285670,285183,502805,419306,480568,747561,450479,340572,264259,270874,260192,213239,184756,185660,423982,221045,1747898,101208,58376,1298181,677780,356366,375212,160863,1197276,587843,492812,414230,748079,1157060,213596,1078426,992614,685423,468238,331488,564353,3643726,367037,63886,706062,711828,865563,968884,505285,162134,254600,68936,161760,5079874,290176,32858,67752,358264,35254,484005,197589,187160,125615,252849,60205,746896,375017,63973,255832,35626,134507,685195,129732,1023125,516299,206783,1620312,2410882,202825,541589,197817,374295
2024-06-01,352232,248577,368650,270101,270670,469897,399241,460431,688133,402532,295197,252035,234195,234882,206088,178403,168181,387513,197564,1793080,97352,53926,1199325,636731,334471,351670,140861,1112811,526392,438441,393528,691817,1082063,191379,981345,931317,632039,429858,308631,517779,3493536,337535,52658,621314,642017,774183,896884,458403,146879,212703,56972,148512,4646259,270430,30134,62629,313865,31078,435607,155617,160900,114314,218016,46194,739803,362491,57818,228924,32865,118774,646653,114252,941746,449672,189643,1479150,2272809,186712,499984,179847,337451
2024-07-01,330004,232378,357718,250213,257409,451038,377983,441865,642121,388510,285310,242787,222078,233156,193153,170027,163834,376011,187449,1743879,95689,50898,1151845,590902,311030,331084,135096,1067143,511794,410953,366567,664141,1060820,183023,948581,876395,601687,413302,297322,499828,3360112,315981,49954,610956,627157,764011,884413,435051,142747,200530,55088,137878,4519284,258073,28536,60419,311661,30092,435384,149151,155768,112168,212152,53118,691203,348254,54279,247885,33262,111028,626672,106497,918328,430704,179182,1415712,2171403,175505,479515,179350,304718
2024-08-01,429727,337508,472436,326733,355684,563029,468563,560305,916670,508270,407802,307685,313118,310710,235508,217534,213800,487351,266926,2139312,129451,72094,1526208,772556,429787,442713,192335,1480159,779329,637409,470224,898750,1461925,257552,1323130,1128562,829499,555951,403589,714127,4148756,449106,74104,902181,838149,1069542,1247365,608470,193175,282872,90987,205583,5756351,343048,37615,82176,379104,38936,526364,237134,226562,146627,315963,105808,817677,438524,79167,389295,49454,147067,867690,163341,1193687,658172,241471,1848505,2668656,233749,674613,260854,495190
2024-09-01,520494,399241,568737,403356,425644,674914,560380,666629,1088191,623756,513205,353738,396825,381672,281971,255403,261986,601155,323303,2445329,146624,84692,1803946,935803,533054,551892,242834,1848979,912750,786317,574815,1148570,1777784,329177,1662474,1410044,994830,680492,483374,943990,4732072,538902,98006,1124685,1077906,1354072,1598958,757995,243432,367267,130719,258433,6818813,416812,46842,102509,477809,50038,642580,324038,317664,184010,419370,124109,923987,514402,102191,510757,61887,178354,978867,199978,1487114,847033,311916,2302513,3171593,293734,816128,332682,577295
2024-10-01,533504,405837,578825,397066,441482,679192,567409,686150,1131786,641006,527586,355867,404597,385402,286367,270156,264010,606873,329199,2518756,153602,84513,1804947,978253,548738,560933,251956,1868859,937093,799885,572387,1132920,1873971,329502,1675636,1481713,1023704,709671,499833,969999,4810124,527441,101957,1130095,1066842,1361161,1554111,773014,235795,373227,131858,254969,7337682,429833,47716,103471,484618,51147,659039,311584,313099,185568,410518,131057,936936,537916,97106,474036,51681,173793,978961,205274,1507060,865350,312093,2307740,3246338,297840,831566,330702,576136
2024-11-01,576887,431611,625982,437739,477072,721375,600586,728711,1231949,701583,577841,401881,433086,404627,300723,276059,284361,660047,380607,2703218,168735,94890,2050655,1049293,614256,591586,275148,2017434,1062644,899242,618889,1245008,2029446,382328,1887518,1545097,1108015,764972,537618,1016829,5217188,584723,112105,1249515,1150456,1477121,1658176,824723,262908,402635,154347,281933,7889098,469512,51024,114353,523106,55055,697604,361672,345933,195794,443856,159572,1010755,577403,116156,622029,72194,206058,1113909,243904,1598687,933111,338391,2457866,3517428,318604,910110,356080,636754
