Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
18444,1202,564,836,1072,602,1147,676,492,1154,1272,1283,13243,1836,649,984,890,828,682,396,400,43877,604,831,6224,2502,906,2477,4091,425,475,3489,14200,3841,1950,1512,1530,1157,608,1689,5972,290,113,1260,4336,2109,2069,3086,2507,4180,1586,122,85,364,905,692,510,52,585,222,84,1529,369,317,250,1354,1137,322,123,747,80,318,2035,299,481,6529,3154,1749,1616,3488,467,783
18475,1287,547,916,980,700,1359,641,668,1367,1422,1547,16833,1810,774,1083,817,911,755,622,606,49938,681,1286,7164,2883,1096,2904,5507,644,677,4748,15767,4030,2103,2183,1404,1381,680,1861,7057,296,145,1584,4628,2136,2430,3607,3704,6018,1915,220,147,421,1005,744,641,81,740,239,122,1641,470,452,399,1561,1296,277,135,944,65,261,2206,177,612,8596,3709,1918,2056,4779,654,860
18506,1282,612,1148,1259,887,1315,979,721,1500,1538,2137,18902,2079,1174,1288,956,958,753,699,599,54113,900,1499,8115,3302,1242,3345,5268,552,829,5463,17245,4633,2616,2282,1465,1364,700,2423,7759,313,114,1878,5016,2801,3144,5091,4576,5938,2304,289,173,548,1223,1059,807,125,1068,367,95,1956,738,662,449,1631,1811,342,185,760,51,268,2649,256,731,9801,3863,2416,2503,5599,1063,956
18536,1419,847,1747,1602,1206,1757,938,1069,1783,1948,2495,20865,2306,1393,1597,1371,1237,961,613,1023,70595,1215,1753,9951,3545,1636,4300,7492,951,1212,6118,20232,6156,3672,2547,2152,2081,1062,3143,7863,311,141,2650,5952,3728,4353,6346,5956,6987,3171,267,381,1528,1700,1203,1147,116,1503,331,98,2066,801,814,448,2032,2135,433,118,743,110,370,3048,188,1018,13459,5001,3350,3248,6216,1221,1199
18567,1349,769,1841,1605,1176,1489,844,950,1410,2048,1780,18247,2284,1272,1250,1374,1080,895,581,1151,65232,1066,1737,9977,2777,1439,4260,5567,1043,1447,5770,17856,6063,3627,2463,1946,1695,1406,2978,7635,321,150,2665,5502,3396,3837,4693,5391,6688,2311,273,297,2751,1108,1238,836,111,1384,462,143,1987,743,890,486,1906,1849,526,209,805,78,400,3257,285,1221,12085,4262,2776,3133,6067,955,1173
18597,1774,909,1904,1694,1207,2064,965,1088,1845,2146,2199,20861,2634,1618,1364,1432,1234,1153,864,1247,71139,1295,2939,10065,3559,1871,4668,6179,821,1230,6400,21076,7041,3516,2799,2196,2119,1596,3975,9713,394,279,2615,6976,3231,3727,5520,5239,7343,2642,334,220,767,1582,1221,1069,101,1335,525,219,3138,749,764,491,2328,2821,485,153,785,92,460,3415,288,1137,12655,5119,2914,3440,7995,1245,1140
18628,1702,921,1698,1775,1344,2688,1098,1250,2063,2188,2406,23017,2737,1511,1656,1701,1147,1164,932,964,76900,1403,2578,10841,3356,1792,5184,7307,861,1267,6828,21894,6766,3640,2941,2244,1976,1246,3982,10034,375,248,2620,6775,3595,4539,5056,5094,7717,3395,237,332,694,1473,1390,1040,102,1504,563,147,3245,762,1119,578,2075,2874,521,107,735,96,446,3252,360,1098,13420,5573,2835,3159,8627,1086,1315
18659,1540,1045,1489,1978,1318,2152,1154,1160,1753,2201,2296,22415,2430,1217,1472,1398,1146,923,728,890,82201,1180,1950,11203,2921,1791,4467,6891,659,1275,5913,20652,5890,3468,2812,2451,1850,1078,3761,9027,387,210,2400,6423,3262,3865,4661,4721,7302,3107,272,348,640,1430,1279,878,117,1166,432,168,2222,668,840,402,2255,2160,422,158,781,116,328,3304,260,1017,13675,5863,2569,2981,7815,908,1366
18687,1772,886,1274,1743,1029,1954,1002,1210,1817,2087,1978,23792,2685,1376,1606,1162,1386,1340,768,777,82943,1417,1750,12361,2984,1642,4226,6100,849,1410,5679,20612,5542,3128,2788,1986,1779,1013,2910,7872,495,181,3304,6092,3146,3869,4676,4289,6936,2900,159,293,639,1220,1335,796,117,1270,419,186,2075,713,723,527,2100,2083,459,210,807,129,395,2827,350,834,13352,4489,2571,2469,7233,957,1338
18718,1425,775,1418,1493,896,1443,984,1066,1754,1755,1787,19620,2636,1234,1209,1198,976,976,742,805,60214,1146,1602,10936,2379,1254,3340,4655,703,1049,4636,20927,4644,2545,2131,1503,1590,1108,2438,6750,421,218,2640,5247,2851,3097,3919,3870,5542,2109,175,232,636,1359,1346,787,90,879,331,164,1888,510,757,452,1587,1668,356,181,753,72,424,2515,199,674,8349,3754,2055,2351,4829,821,1077
