Year,Region,Fitted Values,Lower Bound,Upper Bound
2021,Magadan District,70.174675,-1794.0194,1934.3685
2022,Magadan District,84.34341,-1779.8505,1948.5375
2023,Magadan District,78.23821,-1785.9557,1942.4321
2024,Magadan District,89.5288,-1774.6652,1953.7228
2019,Mari El Republic,31.994316,-1832.1996,1896.1882
2020,Mari El Republic,43.15307,-1821.0409,1907.347
2021,Mari El Republic,48.056908,-1816.1371,1912.2507
2022,Mari El Republic,76.998436,-1787.1954,1941.1925
2023,Mari El Republic,51.74633,-1812.4476,1915.9403
2024,Mari El Republic,86.13653,-1778.0573,1950.3306
2019,Moscow,1224.7885,-639.4054,3088.9824
2020,Moscow,1148.0414,-716.15247,3012.2354
2021,Moscow,878.1501,-986.0438,2742.344
2022,Moscow,1658.3523,-205.84167,3522.5461
2023,Moscow,1324.927,-539.26697,3189.1208
2024,Moscow,3324.3672,1460.1735,5188.561
2019,Moscow Oblast,1876.1611,11.9672165,3740.3547
2020,Moscow Oblast,1569.0972,-295.0968,3433.2908
2021,Moscow Oblast,1506.4623,-357.73163,3370.656
2022,Moscow Oblast,5135.6934,3271.4995,6999.887
2023,Moscow Oblast,2142.2864,278.09253,4006.4802
2024,Moscow Oblast,2401.0208,536.8269,4265.215
2019,Murmansk Oblast,103.04803,-1761.1459,1967.242
2020,Murmansk Oblast,53.367912,-1810.826,1917.5618
2021,Murmansk Oblast,92.13113,-1772.0629,1956.3251
2022,Murmansk Oblast,302.41437,-1561.7797,2166.6082
2023,Murmansk Oblast,180.27704,-1683.9169,2044.471
2024,Murmansk Oblast,182.40634,-1681.7877,2046.6002
2019,Nizhny Novgorod Oblast',236.11932,-1628.0746,2100.3132
2020,Nizhny Novgorod Oblast',267.5565,-1596.6376,2131.7502
2021,Nizhny Novgorod Oblast',209.7605,-1654.4335,2073.9543
2022,Nizhny Novgorod Oblast',431.89804,-1432.2959,2296.092
2023,Nizhny Novgorod Oblast',296.039,-1568.1549,2160.233
2024,Nizhny Novgorod Oblast',1018.1319,-846.06213,2882.3257
2019,Novgorod Oblast,82.993004,-1781.2008,1947.187
2020,Novgorod Oblast,53.367912,-1810.826,1917.5618
2021,Novgorod Oblast,36.630424,-1827.5636,1900.8243
2022,Novgorod Oblast,105.95675,-1758.2372,1970.1506
2023,Novgorod Oblast,147.93463,-1716.2594,2012.1285
2024,Novgorod Oblast,194.85019,-1669.3436,2059.0442
2019,Novosibirsk Oblast,1156.2289,-707.96497,3020.4229
2020,Novosibirsk Oblast,1037.1898,-827.004,2901.3838
2021,Novosibirsk Oblast,572.2011,-1291.9929,2436.395
2022,Novosibirsk Oblast,1258.1304,-606.0636,3122.3242
2023,Novosibirsk Oblast,1695.8624,-168.3316,3560.0562
2024,Novosibirsk Oblast,2307.3088,443.11505,4171.503
2019,Omsk Oblast,372.015,-1492.1788,2236.209
2020,Omsk Oblast,434.3185,-1429.8755,2298.5125
2021,Omsk Oblast,278.79456,-1585.3993,2142.9885
2022,Omsk Oblast,346.1607,-1518.0333,2210.3545
2023,Omsk Oblast,351.69086,-1512.503,2215.8848
2024,Omsk Oblast,561.9418,-1302.2522,2426.1357
2019,Orenburg Oblast,148.48679,-1715.7072,2012.6807
2020,Orenburg Oblast,134.66116,-1729.5328,1998.8551
2021,Orenburg Oblast,175.66241,-1688.5316,2039.8563
2022,Orenburg Oblast,360.77603,-1503.4178,2224.97
2023,Orenburg Oblast,222.0585,-1642.1354,2086.2524
2024,Orenburg Oblast,342.8739,-1521.3202,2207.0676
2019,Oryol Oblast,93.20797,-1770.986,1957.402
2020,Oryol Oblast,98.39352,-1765.8004,1962.5874
2021,Oryol Oblast,46.46328,-1817.7306,1910.6572
2022,Oryol Oblast,137.98413,-1726.2098,2002.178
2023,Oryol Oblast,134.40732,-1729.7867,1998.6012
2024,Oryol Oblast,360.30344,-1503.8905,2224.4973
2019,Penza Oblast,590.3851,-1273.8088,2454.5789
2020,Penza Oblast,135.14865,-1729.0453,1999.3425
2021,Penza Oblast,89.87078,-1774.3231,1954.0647
2022,Penza Oblast,154.12897,-1710.0648,2018.323
2023,Penza Oblast,205.40405,-1658.7899,2069.598
2024,Penza Oblast,282.78293,-1581.411,2146.9768
2019,Perm Krai,385.93738,-1478.2566,2250.1313
2020,Perm Krai,204.58237,-1659.6117,2068.7764
2021,Perm Krai,201.89462,-1662.2992,2066.0886
2022,Perm Krai,379.43466,-1484.7593,2243.6284
2023,Perm Krai,316.71017,-1547.4838,2180.904
2024,Perm Krai,867.11145,-997.0824,2731.3054
2019,Primorsky Krai,658.2444,-1205.9496,2522.4382
2020,Primorsky Krai,946.60144,-917.5924,2810.7954
2021,Primorsky Krai,929.8988,-934.29504,2794.0928
2022,Primorsky Krai,3178.912,1314.7184,5043.106
2023,Primorsky Krai,1880.0792,15.885246,3744.273
2024,Primorsky Krai,1024.7363,-839.45764,2888.9302
2019,Pskov Oblast,45.81997,-1818.3739,1910.0139
2020,Pskov Oblast,31.994316,-1832.1996,1896.1882
2021,Pskov Oblast,15.256828,-1848.9369,1879.4508
2022,Pskov Oblast,68.783714,-1795.4103,1932.9777
2023,Pskov Oblast,116.01656,-1748.1774,1980.2106
2024,Pskov Oblast,83.33132,-1780.8627,1947.5253
2019,Republic of Adygea,82.62176,-1781.5721,1946.8158
2020,Republic of Adygea,63.097527,-1801.0963,1927.2915
2021,Republic of Adygea,72.08703,-1792.107,1936.2809
2022,Republic of Adygea,105.65688,-1758.537,1969.8508
2023,Republic of Adygea,109.24346,-1754.9503,1973.4375
2024,Republic of Adygea,58.819084,-1805.3749,1923.013
2019,Republic of Bashkortostan,198.53922,-1665.6547,2062.7332
