Year,Region,Fitted Values,Lower Bound,Upper Bound
2019,Republic of Khakassia,233.63330294942864,-1896.8669632179299,2364.133569116787
2020,Republic of Khakassia,10.699243846798481,-2119.80102232056,2141.1995100141567
2021,Republic of Khakassia,258.651407890408,-1871.8488582769505,2389.1516740577663
2022,Republic of Khakassia,248.1849466043601,-1882.3153195629984,2378.6852127717184
2023,Republic of Khakassia,461.50265772836184,-1668.9976084389968,2592.0029238957204
2024,Republic of Khakassia,497.86017066687793,-1632.6400955004806,2628.3604368342367
2019,Republic of Mordovia,-95.90776043143933,-2226.408026598798,2034.592505735919
2020,Republic of Mordovia,-319.60369939889847,-2450.103965566257,1810.89656676846
2021,Republic of Mordovia,-42.849401168144254,-2173.3496673355025,2087.6508649992143
2022,Republic of Mordovia,227.6513581994435,-1902.8489079679148,2358.151624366802
2023,Republic of Mordovia,242.25255767510168,-1888.2477084922566,2372.75282384246
2024,Republic of Mordovia,95.13037580869923,-2035.3698903586596,2225.6306419760576
2019,Republic of North Ossetia — Alania,-458.8404401975911,-2589.3407063649497,1671.6598259697676
2020,Republic of North Ossetia — Alania,-135.84340996417404,-2266.3436761315324,1994.6568562031844
2021,Republic of North Ossetia — Alania,-92.61083108285379,-2223.1110972502124,2037.8894350845046
2022,Republic of North Ossetia — Alania,-0.2900159094652963,-2130.7902820768236,2130.210250257893
2023,Republic of North Ossetia — Alania,9.525530290525353,-2120.974735876833,2140.0257964578836
2024,Republic of North Ossetia — Alania,100.31561942475093,-2030.1846467426071,2230.815885592109
2019,Republic of Tatarstan,455.8813976883636,-1674.6188684789945,2586.3816638557223
2020,Republic of Tatarstan,529.6614038541659,-1600.8388623131927,2660.1616700215245
2021,Republic of Tatarstan,567.4684309322469,-1563.0318352351114,2697.9686970996054
2022,Republic of Tatarstan,549.125399717105,-1581.3748664502536,2679.625665884463
2023,Republic of Tatarstan,528.0137425701568,-1602.486523597202,2658.514008737515
2024,Republic of Tatarstan,641.9554832496337,-1488.5447829177247,2772.455749416992
2019,Rostov Oblast,601.8461540056653,-1528.6541121616929,2732.346420173024
2020,Rostov Oblast,898.5143602073322,-1231.9859059600262,3029.0146263746906
2021,Rostov Oblast,513.9120908833071,-1616.5881752840514,2644.4123570506654
2022,Rostov Oblast,458.45095307967057,-1672.049313087688,2588.951219247029
2023,Rostov Oblast,402.684091727035,-1727.8161744403233,2533.1843578943935
2024,Rostov Oblast,544.0047547266529,-1586.4955114407057,2674.505020894011
